date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:26:23	93/93	---MCZ	200	added ('OK')	text/plain	etag:W/%2265e619ba-4d%22	https://cryptobriefing.com/robots.txt		(from )
16:26:23	388821/388821	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Dec%202024%2005:25:13%20GMT	https://cryptobriefing.com/binance-labs-investment-usual-token/	C:/My%20Web%20Sites/crypto/cryptobriefing.com/binance-labs-investment-usual-token/index.html	(from )
16:26:24	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2024%20Dec%202024%2005:26:24%20GMT	https://cryptobriefing.com/binance-labs-investment-usual-token/i	C:/My%20Web%20Sites/crypto/cryptobriefing.com/binance-labs-investment-usual-token/i	(from https://cryptobriefing.com/binance-labs-investment-usual-token/)
16:26:24	23060/23060	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267693262-5a14%22	https://assets.mailerlite.com/js/universal.js	C:/My%20Web%20Sites/crypto/assets.mailerlite.com/js/universal.js	(from https://cryptobriefing.com/binance-labs-investment-usual-token/)
16:26:24	52107/52107	---M--	200	added ('OK')	image/jpeg	etag:%22ba5900388d560a6f08665fa41fbef048%22	https://static.cryptobriefing.com/wp-content/uploads/2024/12/23141943/2aeb2089-db29-42e2-8af7-c159dd623bcf-800x420.jpg	C:/My%20Web%20Sites/crypto/static.cryptobriefing.com/wp-content/uploads/2024/12/23141943/2aeb2089-db29-42e2-8af7-c159dd623bcf-800x420.jpg	(from https://cryptobriefing.com/binance-labs-investment-usual-token/)
16:26:24	20002/20002	---M--	200	added ('OK')	image/jpeg	etag:%22a0301625470671345e1fdcaefea16ea6%22	https://static.cryptobriefing.com/wp-content/uploads/2024/12/23141943/2aeb2089-db29-42e2-8af7-c159dd623bcf-400x210.jpg	C:/My%20Web%20Sites/crypto/static.cryptobriefing.com/wp-content/uploads/2024/12/23141943/2aeb2089-db29-42e2-8af7-c159dd623bcf-400x210.jpg	(from https://cryptobriefing.com/binance-labs-investment-usual-token/)
16:26:24	619/619	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2024%20Dec%202024%2005:26:25%20GMT	https://cryptobriefing.com/choice.js?tag_version=V3	C:/My%20Web%20Sites/crypto/cryptobriefing.com/choice1ed7.js	(from https://cryptobriefing.com/binance-labs-investment-usual-token/)
16:26:25	35965/35965	---M--	200	added ('OK')	image/png	etag:%22bf04c0aca59c82aa4aa4a0f11f7b3f0c%22	https://static.cryptobriefing.com/wp-content/uploads/2024/11/11124830/728x90-product-Cryptobriefing.png	C:/My%20Web%20Sites/crypto/static.cryptobriefing.com/wp-content/uploads/2024/11/11124830/728x90-product-Cryptobriefing.png	(from https://cryptobriefing.com/binance-labs-investment-usual-token/)
16:26:25	253337/253337	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2024%20Dec%202024%2005:26:25%20GMT	https://cryptobriefing.com/binance-labs-investment-usual-token/Firefox/	C:/My%20Web%20Sites/crypto/cryptobriefing.com/binance-labs-investment-usual-token/Firefox/index.html	(from https://cryptobriefing.com/binance-labs-investment-usual-token/)
16:26:25	619/619	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2024%20Dec%202024%2005:26:26%20GMT	https://cryptobriefing.com/binance-labs-investment-usual-token/OneSignalSDKUpdaterWorker.js.php	C:/My%20Web%20Sites/crypto/cryptobriefing.com/binance-labs-investment-usual-token/OneSignalSDKUpdaterWorker.js.php	(from https://cryptobriefing.com/binance-labs-investment-usual-token/)
16:26:25	619/619	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2024%20Dec%202024%2005:26:26%20GMT	https://cryptobriefing.com/binance-labs-investment-usual-token/OneSignalSDKWorker.js.php	C:/My%20Web%20Sites/crypto/cryptobriefing.com/binance-labs-investment-usual-token/OneSignalSDKWorker.js.php	(from https://cryptobriefing.com/binance-labs-investment-usual-token/)
16:26:25	2013/2013	---M--	200	added ('OK')	image/png	etag:%226c9ca1076882e4db0177055dedd9f4cc%22	https://static.cryptobriefing.com/wp-content/uploads/2020/02/02093517/ios-144.png	C:/My%20Web%20Sites/crypto/static.cryptobriefing.com/wp-content/uploads/2020/02/02093517/ios-144.png	(from https://cryptobriefing.com/binance-labs-investment-usual-token/)
16:26:26	174500/174500	---M--	200	added ('OK')	image/gif	etag:%22a5fb61c14d60d783b89829ad7e05baf1%22	https://static.cryptobriefing.com/wp-content/uploads/2021/07/27015726/loader.gif	C:/My%20Web%20Sites/crypto/static.cryptobriefing.com/wp-content/uploads/2021/07/27015726/loader.gif	(from https://cryptobriefing.com/binance-labs-investment-usual-token/)
